epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,15,15,50.00,100.00,500.00,0,0.50,0,0,0
2,20,13,15,50.00,100.00,500.00,0,1.00,0,0,2
3,20,10,15,50.00,100.00,500.00,0,1.52,0,0,3
4,20,8,15,50.00,100.00,500.00,0,2.03,0,0,2
5,20,9,15,50.00,100.00,500.00,0,2.53,0,0,2
6,20,13,15,50.00,100.00,500.00,0,3.05,0,0,2
7,20,14,15,50.00,100.00,500.00,0,3.55,0,0,3
8,20,13,15,50.00,100.00,500.00,0,4.07,0,0,3
9,20,13,15,50.00,100.00,500.00,0,4.58,0,0,1
10,20,11,15,50.00,100.00,500.00,0,5.10,0,0,3
11,20,12,15,50.00,100.00,500.00,0,5.62,0,0,3
12,20,13,15,50.00,100.00,500.00,0,6.13,0,0,1
13,20,15,15,50.00,100.00,500.00,0,6.65,0,0,1
14,20,16,15,50.00,100.00,500.00,0,7.15,0,0,2
15,20,14,15,50.00,100.00,500.00,0,7.67,0,0,3
16,20,14,15,50.00,100.00,500.00,0,8.18,0,0,2
17,20,14,15,50.00,100.00,500.00,0,8.70,0,0,2
18,20,14,15,50.00,100.00,500.00,0,9.22,0,0,2
19,20,11,15,50.00,100.00,500.00,0,9.73,0,0,7
20,13,12,15,50.00,100.00,500.00,0,10.25,0,7,1
21,13,10,15,50.00,100.00,500.00,0,10.77,0,0,2
22,12,11,15,50.00,100.00,500.00,0,11.27,0,1,3
23,12,11,15,50.00,100.00,500.00,0,11.78,0,0,1
24,12,11,15,50.00,100.00,500.00,0,12.30,0,0,3
25,12,11,15,50.00,100.00,500.00,0,12.82,0,0,2
26,10,10,15,50.00,100.00,500.00,0,13.33,0,2,5
27,10,11,15,50.00,100.00,500.00,0,13.85,0,0,1
28,10,12,15,50.00,100.00,500.00,0,14.37,0,0,1
29,10,12,15,50.00,100.00,500.00,0,14.88,0,0,2
30,7,14,15,50.00,100.00,500.00,0,15.40,0,3,1
31,7,14,15,50.00,100.00,500.00,0,15.92,0,0,2
32,5,15,15,50.00,100.00,500.00,0,16.43,0,2,0
33,5,17,15,50.00,100.00,500.00,0,16.95,0,0,1
34,3,18,15,50.00,100.00,500.00,0,17.47,0,2,0
35,3,20,15,50.00,100.00,500.00,0,17.98,0,0,1
36,3,22,15,50.00,100.00,500.00,0,18.50,0,0,1
37,3,23,15,50.00,100.00,500.00,0,19.02,0,0,0
38,3,25,15,50.00,100.00,500.00,0,19.53,0,0,1
39,1,27,15,50.00,100.00,500.00,0,20.05,0,2,0
40,1,29,15,50.00,100.00,500.00,0,20.57,0,0,0
41,1,31,15,50.00,100.00,500.00,0,21.08,0,0,0
42,1,31,15,50.00,100.00,500.00,0,21.60,0,0,0
43,1,36,15,50.00,100.00,500.00,0,22.12,0,0,0
44,1,38,15,50.00,100.00,500.00,0,22.63,0,0,0
45,1,38,15,50.00,100.00,500.00,0,23.15,0,0,0
46,1,38,15,50.00,100.00,500.00,0,23.67,0,0,1
47,1,38,15,50.00,100.00,500.00,0,24.18,0,0,0
48,1,36,15,50.00,100.00,500.00,0,24.70,0,0,2
49,1,38,15,50.00,100.00,500.00,0,25.22,0,0,0
50,1,39,15,50.00,100.00,500.00,0,25.73,0,0,0
51,1,39,15,50.00,100.00,500.00,0,26.25,0,0,1
52,1,40,15,50.00,100.00,500.00,0,26.77,0,0,0
53,1,39,15,50.00,100.00,500.00,0,27.28,0,0,1
54,1,38,15,50.00,100.00,500.00,0,27.80,0,0,0
55,1,37,15,50.00,100.00,500.00,0,28.32,0,0,0
56,1,38,15,50.00,100.00,500.00,0,28.83,0,0,0
57,1,41,15,50.00,100.00,500.00,0,29.35,0,0,0
58,1,39,15,50.00,100.00,500.00,0,29.87,0,0,3
59,1,38,15,50.00,100.00,500.00,0,30.38,0,0,1
60,1,37,15,50.00,100.00,500.00,0,30.90,0,0,0
61,1,37,15,50.00,100.00,500.00,0,31.42,0,0,0
62,1,36,15,50.00,100.00,500.00,0,31.93,0,0,0
63,1,38,15,50.00,100.00,500.00,0,32.45,0,0,0
64,1,40,15,50.00,100.00,500.00,0,32.97,0,0,0
65,1,40,15,50.00,100.00,500.00,0,33.48,0,0,0
66,1,39,15,50.00,100.00,500.00,0,34.00,0,0,1
67,1,40,15,50.00,100.00,500.00,0,34.52,0,0,0
68,1,42,15,50.00,100.00,500.00,0,35.03,0,0,0
69,1,41,15,50.00,100.00,500.00,0,35.55,0,0,1
70,1,42,15,50.00,100.00,500.00,0,36.07,0,0,0
71,1,42,15,50.00,100.00,500.00,0,36.58,0,0,0
72,1,40,15,50.00,100.00,500.00,0,37.10,0,0,2
73,1,39,15,50.00,100.00,500.00,0,37.62,0,0,1
74,1,40,15,50.00,100.00,500.00,0,38.13,0,0,0
75,1,39,15,50.00,100.00,500.00,0,38.65,0,0,2
76,1,38,15,50.00,100.00,500.00,0,39.17,0,0,1
77,1,36,15,50.00,100.00,500.00,0,39.68,0,0,0
78,1,35,15,50.00,100.00,500.00,0,40.20,0,0,1
79,1,36,15,50.00,100.00,500.00,0,40.72,0,0,0
80,1,37,15,50.00,100.00,500.00,0,41.23,0,0,0
81,1,35,15,50.00,100.00,500.00,0,41.75,0,0,0
82,1,34,15,50.00,100.00,500.00,0,42.27,0,0,2
